Date,Close
2012-01-02,2001.7030029296875
2012-01-03,2025.3001708984375
2012-01-04,2010.5098876953125
2012-01-05,1972.3570556640625
2012-01-06,2011.5458984375
2012-01-09,1961.2884521484375
2012-01-10,1960.0169677734375
2012-01-11,1946.78076171875
2012-01-12,1950.7841796875
2012-01-13,1955.6361083984375
2012-01-16,1946.593017578125
2012-01-17,1975.937255859375
2012-01-18,2000.05322265625
2012-01-19,2026.007080078125
2012-01-20,2049.275390625
2012-01-23,2101.84033203125
2012-01-24,2106.5517578125
2012-01-25,2071.46044921875
2012-01-27,2104.192138671875
2012-01-30,2098.476318359375
2012-01-31,2136.686767578125
2012-02-01,2142.63720703125
2012-02-02,2177.68310546875
2012-02-03,2148.258056640625
2012-02-06,2231.053955078125
2012-02-07,2240.736572265625
2012-02-08,2279.372314453125
2012-02-09,2247.443603515625
2012-02-10,2268.2724609375
2012-02-13,2262.416015625
2012-02-14,2316.211181640625
2012-02-15,2390.837646484375
2012-02-16,2400.23583984375
2012-02-17,2505.890869140625
2012-02-21,2555.9091796875
2012-02-22,2543.534912109375
2012-02-23,2559.309814453125
2012-02-24,2559.357177734375
2012-02-27,2551.186767578125
2012-02-28,2600.165283203125
2012-02-29,2645.55419921875
2012-03-01,2724.241455078125
2012-03-02,2644.703857421875
2012-03-05,2639.981201171875
2012-03-06,2650.796875
2012-03-07,2630.2978515625
2012-03-09,2742.802734375
2012-03-12,2758.908447265625
2012-03-13,2707.8046875
2012-03-14,2721.31298828125
2012-03-15,2751.9658203125
2012-03-16,2732.033935546875
2012-03-19,2737.84326171875
2012-03-20,2783.75244140625
2012-03-21,2814.358642578125
2012-03-22,2811.2880859375
2012-03-23,2811.334716796875
2012-03-26,2761.931884765625
2012-03-27,2872.829833984375
2012-03-28,2904.5693359375
2012-03-29,2890.400634765625
2012-03-30,3041.114501953125
2012-04-02,3086.45556640625
2012-04-03,2997.944580078125
2012-04-04,2941.74072265625
2012-04-09,2850.206298828125
2012-04-10,2794.66259765625
2012-04-11,2723.7685546875
2012-04-12,2696.469970703125
2012-04-13,2717.534912109375
2012-04-16,2704.82958984375
2012-04-17,2792.20703125
2012-04-18,2801.60546875
2012-04-19,2747.99853515625
2012-04-20,2670.822998046875
2012-04-23,2622.45849609375
2012-04-24,2616.412353515625
2012-04-25,2591.00244140625
2012-04-26,2588.07373046875
2012-04-27,2625.291748046875
2012-04-30,2677.056884765625
2012-05-02,2656.794921875
2012-05-03,2656.37060546875
2012-05-04,2581.366943359375
2012-05-07,2593.457763671875
2012-05-08,2559.45166015625
2012-05-09,2546.22705078125
2012-05-10,2550.61962890625
2012-05-11,2540.984375
2012-05-14,2530.9716796875
2012-05-15,2515.05419921875
2012-05-16,2492.336669921875
2012-05-17,2467.681640625
2012-05-18,2433.502685546875
2012-05-21,2431.087890625
2012-05-22,2430.5205078125
2012-05-23,2427.205810546875
2012-05-24,2422.282958984375
2012-05-25,2420.247314453125
2012-05-28,2450.023681640625
2012-05-29,2389.287109375
2012-05-30,2341.521484375
2012-05-31,2279.127197265625
2012-06-01,2242.581298828125
2012-06-04,2273.3046875
2012-06-05,2232.4033203125
2012-06-06,2339.86474609375
2012-06-07,2299.2470703125
2012-06-08,2392.316650390625
2012-06-11,2415.41845703125
2012-06-12,2489.268798828125
2012-06-13,2525.294189453125
2012-06-14,2485.575927734375
2012-06-15,2515.543212890625
2012-06-18,2497.50634765625
2012-06-19,2496.79541015625
2012-06-20,2520.27587890625
2012-06-21,2579.735595703125
2012-06-22,2750.7744140625
2012-06-25,2740.453857421875
2012-06-26,2741.826416015625
2012-06-27,2745.66162109375
2012-06-28,2760.620849609375
2012-06-29,2878.213134765625
2012-07-02,2938.902099609375
2012-07-03,2929.813232421875
2012-07-04,2904.202392578125
2012-07-05,2910.7353515625
2012-07-06,2776.00634765625
2012-07-09,2771.603515625
2012-07-10,2752.52587890625
2012-07-11,2750.15869140625
2012-07-12,2745.37744140625
2012-07-13,2749.732421875
2012-07-16,2763.366455078125
2012-07-17,2770.3251953125
2012-07-18,2770.0888671875
2012-07-19,2778.751708984375
2012-07-20,2778.5146484375
2012-07-23,2736.571533203125
2012-07-24,2724.87939453125
2012-07-25,2848.15185546875
2012-07-26,2840.672119140625
2012-07-27,2890.331787109375
2012-07-30,2916.74755859375
2012-07-31,2948.938232421875
2012-08-01,2997.934814453125
2012-08-02,3004.13671875
2012-08-03,2942.879150390625
2012-08-06,2935.162353515625
2012-08-07,2928.913818359375
2012-08-08,2933.789306640625
2012-08-09,2921.860595703125
2012-08-10,3012.421142578125
2012-08-13,3034.57666015625
2012-08-14,3047.8779296875
2012-08-16,3037.653564453125
2012-08-17,3116.28466796875
2012-08-21,3125.042724609375
2012-08-22,3084.424560546875
2012-08-23,3192.73828125
2012-08-24,3266.446533203125
2012-08-27,3322.63916015625
2012-08-28,3314.87548828125
2012-08-29,3293.619140625
2012-08-30,3229.75830078125
2012-08-31,3204.904541015625
2012-09-03,3182.087158203125
2012-09-04,3154.0146484375
2012-09-05,3214.51416015625
2012-09-06,3199.17626953125
2012-09-07,3224.787353515625
2012-09-10,3224.171875
2012-09-11,3283.96240234375
2012-09-12,3288.60205078125
2012-09-13,3279.0390625
2012-09-14,3222.657470703125
2012-09-17,3245.1435546875
2012-09-18,3315.58544921875
2012-09-20,3352.8896484375
2012-09-21,3440.8935546875
2012-09-24,3422.809326171875
2012-09-25,3431.04736328125
2012-09-26,3484.63525390625
2012-09-27,3569.70556640625
2012-09-28,3683.65185546875
2012-10-01,3849.152099609375
2012-10-03,3810.5703125
2012-10-04,3858.288330078125
2012-10-05,3667.840576171875
2012-10-08,3643.363037109375
2012-10-09,3709.395751953125
2012-10-10,3730.173828125
2012-10-11,3774.5283203125
2012-10-12,3798.57958984375
2012-10-15,3870.06787109375
2012-10-16,3849.9072265625
2012-10-17,3864.09033203125
2012-10-18,3953.60595703125
2012-10-19,3982.25830078125
2012-10-22,3977.32421875
2012-10-23,3906.310546875
2012-10-25,3985.816650390625
2012-10-29,4042.930908203125
2012-10-30,3945.920166015625
2012-10-31,4006.6884765625
2012-11-01,4010.482421875
2012-11-02,4041.555419921875
2012-11-05,4103.69970703125
2012-11-06,4108.72802734375
2012-11-07,4174.47607421875
2012-11-08,4221.53369140625
2012-11-09,4178.17724609375
2012-11-12,4103.27197265625
2012-11-15,3904.365478515625
2012-11-16,3982.210693359375
2012-11-19,3878.7490234375
2012-11-20,3794.973876953125
2012-11-21,3871.063720703125
2012-11-22,4073.2900390625
2012-11-23,4043.073486328125
2012-11-26,4046.34619140625
2012-11-27,4147.72119140625
2012-11-29,4165.41552734375
2012-11-30,4168.64208984375
2012-12-03,4119.44970703125
2012-12-04,3985.673828125
2012-12-05,4078.983154296875
2012-12-06,4083.48974609375
