Date,Close
2012-01-02,309.6875
2012-01-03,313.9588317871094
2012-01-04,304.3387756347656
2012-01-05,302.72265625
2012-01-06,305.3776550292969
2012-01-09,302.79962158203125
2012-01-10,304.3387756347656
2012-01-11,302.06854248046875
2012-01-12,303.2613220214844
2012-01-13,301.41424560546875
2012-01-16,297.33538818359375
2012-01-17,305.9934387207031
2012-01-18,301.8760681152344
2012-01-19,301.221923828125
2012-01-20,301.0294494628906
2012-01-23,304.49267578125
2012-01-24,302.5301513671875
2012-01-25,302.8765869140625
2012-01-27,300.10595703125
2012-01-30,294.25701904296875
2012-01-31,291.6402893066406
2012-02-01,296.1041259765625
2012-02-02,300.6831970214844
2012-02-03,308.9179382324219
2012-02-06,297.87408447265625
2012-02-07,294.1031494140625
2012-02-08,299.02850341796875
2012-02-09,302.72265625
2012-02-10,298.1435241699219
2012-02-13,301.4913330078125
2012-02-14,301.5682067871094
2012-02-15,298.99005126953125
2012-02-16,295.5653076171875
2012-02-17,296.3734436035156
2012-02-21,293.94921875
2012-02-22,291.2940368652344
2012-02-23,298.7592468261719
2012-02-24,296.9891357421875
2012-02-27,292.4869689941406
2012-02-28,293.4104309082031
2012-02-29,292.6023864746094
2012-03-01,292.7177734375
2012-03-02,294.6418151855469
2012-03-05,294.4109191894531
2012-03-06,292.6023864746094
2012-03-07,296.2964172363281
2012-03-09,294.1800842285156
2012-03-12,292.87176513671875
2012-03-13,293.833740234375
2012-03-14,293.6413269042969
2012-03-15,298.6822204589844
2012-03-16,300.2984313964844
2012-03-19,303.1074523925781
2012-03-20,304.30035400390625
2012-03-21,310.30322265625
2012-03-22,304.6466979980469
2012-03-23,310.2262268066406
2012-03-26,310.41876220703125
2012-03-27,320.1925964355469
2012-03-28,317.4605407714844
2012-03-29,314.26666259765625
2012-03-30,315.5749816894531
2012-04-02,312.1886901855469
2012-04-03,310.7264709472656
2012-04-04,307.22479248046875
2012-04-09,311.30364990234375
2012-04-10,319.3460998535156
2012-04-11,320.6158752441406
2012-04-12,324.1560974121094
2012-04-13,327.1959228515625
2012-04-16,324.19451904296875
2012-04-17,324.9256896972656
2012-04-18,325.4259033203125
2012-04-19,327.46533203125
2012-04-20,325.54132080078125
2012-04-23,321.0006408691406
2012-04-24,323.6173400878906
2012-04-25,322.539794921875
2012-04-26,319.15362548828125
2012-04-27,319.6922912597656
2012-04-30,321.3854675292969
2012-05-02,327.0805358886719
2012-05-03,334.5841064453125
2012-05-04,334.6995849609375
2012-05-07,330.8901062011719
2012-05-08,331.5826110839844
2012-05-09,332.89105224609375
2012-05-10,333.4297180175781
2012-05-11,332.5061950683594
2012-05-14,333.8915100097656
2012-05-15,332.81402587890625
2012-05-16,329.1969299316406
2012-05-17,330.8901062011719
2012-05-18,332.5061950683594
2012-05-21,328.0040283203125
2012-05-22,326.1954345703125
2012-05-23,328.61968994140625
2012-05-24,326.8496398925781
2012-05-25,323.8866882324219
2012-05-28,321.2700500488281
2012-05-29,320.3465576171875
