entry_date,exit_date,hold_days,direction,entry_z,exit_z,entry_ze,exit_zx,stop_zs,notional,leverage,beta,units,entry_lr,exit_lr,entry_cost_dol,exit_cost_dol,gross_pnl_dol,pnl,pnl_dol,exit_reason,z_fast,z_fast_slope,z_fast_accel,z_fast_accel_z,rsi_lr,rsi_slope,lr_mom,lr_mom_slope,lr_mom_slope_z,vol_z,vol_ratio,atr,autocorr,agreement,regime_score
2019-02-22,2019-03-15,14,short,2.6640075510412498,-1.110663429966899,2.4,0.18,4.5,800000,4,2.4013577187746775,-1,-7.682537941728857,-7.700140465144171,1000.0,1000.0,14082.01873225181,0.06041009366125905,12082.01873225181,mean_revert,2.41013280784819,2.6322715387493445,2.518658032485471,,53.06105559762173,18.92470115629598,0.12355839770525723,0.11057178108462029,,,1.0,0.02723973274072253,0.0,3.0,5.0
2019-08-29,2019-09-20,14,short,2.797648576744755,-0.3985734059394045,2.4,0.18,4.5,800000,4,2.3725831318579247,-1,-7.681171417417122,-7.684527362923323,1000.0,1000.0,2684.7564049603534,0.0034237820248017668,684.7564049603534,mean_revert,1.9282254236175038,1.3600961494589263,1.1625154422729933,0.9167043710514741,64.01633342183256,13.185317815142888,0.10445646720934487,0.12324676786144373,2.0537364842651065,-0.478522666887969,0.6758985994476063,0.02337248355578096,-0.14362782219133383,4.0,6.0
2020-01-22,2020-01-31,7,short,3.0942347458513257,-0.38462458900893115,2.4,0.18,4.5,800000,4,2.3635478064251103,-1,-7.626381933882108,-7.681282356381442,1000.0,1000.0,43920.33799946731,0.20960168999733655,41920.33799946731,mean_revert,2.1687906402325674,1.4624838690527575,1.7720480156803744,2.1081915717196273,67.92421254400261,16.466882043889626,0.11156207434855503,0.10478143183189559,1.925216007544803,-0.4071678940660902,0.8373172727437755,0.03006243869039583,-0.10538647944887393,4.0,6.0
2020-03-05,2020-03-12,4,long,-2.7612399212845538,2.088799933474587,2.4,0.18,4.5,800000,4,2.372772014703555,1,-7.693405507106985,-7.641624027589846,1000.0,1000.0,41425.18361371117,0.19712591806855584,39425.18361371117,mean_revert,-2.4698517216006817,-0.9572195821213284,-0.871043872825831,-0.8219305014252737,40.38662619716092,-14.913904342937379,-0.05520858470632373,-0.061759448788383686,-0.9473872887518234,-1.6374451845080031,0.3889395168418718,0.021435874155558497,-0.145598763958616,-2.0,0.0
2020-03-13,2020-03-25,8,short,2.68899662583881,-0.8028950182598539,2.4,0.18,4.5,800000,4,2.374239512111849,-1,-7.537012495563253,-7.5464089784124235,1000.0,1000.0,7517.18627933613,0.027585931396680648,5517.18627933613,mean_revert,2.4516240729712147,1.740577269581797,1.6497737203154357,1.2842416459459394,65.52949805542067,18.277644684246873,0.17624222791213828,0.2265111126687227,2.9078741467696427,0.46122108989404,0.9008984908056326,0.03409253570729073,-0.06231119919198509,4.0,6.0
2020-08-28,2020-09-04,5,long,-2.431127757164607,0.03057677820194094,2.4,0.18,4.5,800000,4,2.3941759302813908,1,-7.706226168912347,-7.598550864756762,1000.0,1000.0,86140.24332446845,0.4207012166223423,84140.24332446845,mean_revert,-1.6560290420445847,-0.9058259479178208,-0.5328104962008903,-0.6629011848230635,36.663652965825385,-8.951309411334393,-0.14072776841384727,-0.13902906485834343,-1.8506584770781604,0.027702132387493198,0.7872004163640632,0.035784918633411,-0.3121829318487562,-3.0,-1.0
2020-10-27,2020-11-12,12,long,-3.156598450914213,-0.13144800047669838,2.4,0.18,4.5,800000,4,2.4017881366413336,1,-7.920112949195299,-7.8727982916242905,1000.0,1000.0,37851.726056806714,0.17925863028403358,35851.726056806714,mean_revert,-2.1240343420013006,-2.003205896733048,-2.4217420235453586,-2.2143259337093624,21.493234174050585,-13.778104220207268,-0.2721538928643854,-0.16659767194069186,-2.409207553477021,3.3773659261670024,1.0884682810083013,0.057538155077246946,-0.05253406249611728,-4.0,-2.0
2021-05-03,2021-05-10,5,short,2.6115028407214194,0.004727772130291522,2.4,0.18,4.5,800000,4,2.3381775367177577,-1,-7.367244416599883,-7.481997597142503,1000.0,1000.0,91802.54443409623,0.44901272217048116,89802.54443409623,mean_revert,1.9944518342978905,1.5900246487376248,1.3500237441987548,1.3526639245778869,70.7885848140179,18.010839670160692,0.18828474155020025,0.21019451352065843,2.3231315094172587,0.6400806278414832,1.0051227715103654,0.03016782802668308,-0.10479312043095777,4.0,6.0
2021-07-28,2021-08-04,5,short,2.8041011834252907,-1.2034713018728167,2.4,0.18,4.5,800000,4,2.3732524960869883,-1,-7.349156215599813,-7.4130924723974365,1000.0,1000.0,51149.005438098524,0.24574502719049263,49149.005438098524,mean_revert,2.53760761146628,2.101180280520597,1.8838188062916643,1.5965881212210633,64.52241504047228,14.350483742796214,0.10351330940271808,0.07355408936647123,1.1181736674493472,-0.12430709109113651,1.115186211505918,0.03010153848872006,0.03718383956197493,4.0,6.0
2022-01-28,2022-02-07,6,long,-2.4288552030655177,0.9363813748548673,2.4,0.18,4.5,800000,4,2.370912746046526,1,-7.558684189796044,-7.496788014794205,1000.0,1000.0,49516.940001471,0.237584700007355,47516.940001471,mean_revert,-1.391662265037322,-0.6632507876404088,-0.725653703168099,-1.1176834126653743,35.61472979992476,-12.293283435329315,-0.09818169417739231,-0.10292978474030079,-1.6642228982096012,-1.2715498707600088,0.39037525362378234,0.0231014463420357,-0.11066805439826737,-2.0,0.0
