,ann_ret,sharpe
2020-02-17,0.9581575233855036,1.5601161999677744
2020-02-18,1.0126375274443633,1.6432730888659957
2020-02-19,0.9916191788826277,1.607871467810559
2020-02-20,1.0267397826685547,1.6627299538601823
2020-02-24,1.0253788909912254,1.66049781491479
2020-02-25,1.0077019007523604,1.6308949272523088
2020-02-26,1.0239783373806277,1.6569459401029323
2020-02-27,1.0424962681106373,1.6864871662330843
2020-02-28,1.0468839390119358,1.6936233826885543
2020-03-02,1.0629162223157642,1.7209294193422466
2020-03-03,1.048292560311986,1.6974568058084616
2020-03-04,1.0001876468503503,1.6236774979315658
2020-03-05,0.9666700541119543,1.565741726895694
2020-03-06,0.9234038320147382,1.502022990028143
2020-03-09,1.0718598710123783,1.7177061221471377
2020-03-11,1.0327064722832124,1.6468003657504995
2020-03-12,1.140069593169201,1.7672647306917004
2020-03-13,1.0889384732151357,1.681794698706644
2020-03-16,0.8274595838604015,1.182232193604376
2020-03-17,0.6744143341118716,0.9404036408975933
2020-03-18,0.016492595561869994,0.016914756844861677
2020-03-19,0.7747394858369624,0.6272535665778827
2020-03-20,0.8952776331530238,0.7215921177850683
2020-03-23,0.6378841228178288,0.5031266842472495
2020-03-24,0.759992901570444,0.596792273482633
2020-03-25,1.1676555245658602,0.8738633786186366
2020-03-26,1.1676555245658602,0.8738633786186366
2020-03-27,1.1676555245658602,0.8738633786186366
2020-03-30,1.1676555245658602,0.8738633786186366
2020-03-31,1.1676555245658602,0.8738633786186366
2020-04-01,1.1676555245658602,0.8738633786186366
2020-04-03,1.1676555245658602,0.8738633786186366
2020-04-07,1.1676555245658602,0.8738633786186366
2020-04-08,1.1676555245658602,0.8738633786186366
2020-04-09,1.1676555245658602,0.8738633786186366
2020-04-13,1.1676555245658602,0.8738633786186366
2020-04-15,1.1676555245658602,0.8738633786186366
2020-04-16,1.1676555245658602,0.8738633786186366
2020-04-17,1.1676555245658602,0.8738633786186366
2020-04-20,1.1676555245658602,0.8738633786186366
2020-04-21,1.1676555245658602,0.8738633786186366
2020-04-22,1.1676555245658602,0.8738633786186366
2020-04-23,1.1676555245658602,0.8738633786186366
2020-04-24,1.1733797307410485,0.8781685456473779
2020-04-27,1.1082107735281264,0.8302496154385377
2020-04-28,1.0901807462312527,0.816780490243991
2020-04-29,1.1356893816660667,0.8514698212373989
2020-04-30,1.1350309880253222,0.8509748778381753
2020-05-04,1.0946654202025259,0.8210060961391947
2020-05-05,1.0907944621018595,0.8180985590487332
2020-05-06,1.0877214939185702,0.8157456618711764
2020-05-07,1.1464216522394004,0.8582160889669207
2020-05-08,1.039924643693725,0.7757118068633185
2020-05-11,1.0006751634447806,0.7457060882995757
2020-05-12,0.8844262672211265,0.6583071328074974
2020-05-13,0.8549210132362282,0.6361215953543525
2020-05-14,0.8950611744685135,0.6657422116774872
2020-05-15,0.9994907952980893,0.7413357664957869
2020-05-18,0.8133714862503298,0.5973820400263368
2020-05-19,0.8741618752264904,0.6414587142048988
2020-05-20,0.8836786060982496,0.6484378387273364
2020-05-21,0.9718338673258282,0.7117567044119585
2020-05-22,1.0300172954791913,0.7537763317809909
2020-05-26,0.9511764512576137,0.6948041844659776
2020-05-27,0.9177097801482867,0.6701123046282823
2020-05-28,0.9441205490128768,0.689304780180351
2020-05-29,0.8716803145166352,0.635245290444984
2020-06-01,0.9775046577478317,0.7100969165077201
2020-06-02,0.9838452492020024,0.7146811296340575
2020-06-03,1.0468773864124674,0.7598507707368772
2020-06-04,1.200795955483357,0.8739647226175242
2020-06-05,1.1416853036696708,0.8315941486044791
2020-06-08,1.1132981816667098,0.8110364069225681
2020-06-09,1.0884425166516805,0.7930137312991048
2020-06-10,1.0884425166516805,0.7930137312991048
2020-06-11,1.0884425166516805,0.7930137312991048
2020-06-12,1.0884425166516805,0.7930137312991048
2020-06-15,1.0884425166516805,0.7930137312991048
2020-06-16,1.0412718637359637,0.7581164527413055
2020-06-17,1.2396408173929059,0.8936561696191921
2020-06-18,1.1107706988385404,0.7970590667896396
2020-06-19,1.0172535601052521,0.7281612282451358
2020-06-22,1.1056720002455522,0.7900161762516605
2020-06-23,1.1896198477447557,0.8486326428708991
2020-06-24,1.1545214495447746,0.8232670094866715
2020-06-25,1.4951052332300305,1.0367951188472042
2020-06-26,1.4386194394629799,0.9966990284258728
2020-06-29,1.3258551722502032,0.915501363660555
