window_size,n_draws,pct_low_signal,sharpe_median,sharpe_p10,sharpe_p90,calmar_median,ann_ret_median_pct,max_dd_median_pct,win_rate_median,pct_profitable,pct_calmar_gt1,pct_sharpe_gt_half
126,20,5.0,1.5913968358241692,0.6151557967639901,2.185625572071212,5.883756085948041,148.8487054284941,-25.82283041570354,80.0,100.0,94.73684210526315,89.47368421052632
256,20,0.0,1.1470118302894992,0.6952437067549918,1.8587373377974696,3.3096792135692032,94.55243031051117,-35.69324876824683,81.53409090909092,100.0,90.0,90.0
386,20,0.0,0.9141499545330928,0.7400153981315433,1.5369681965926163,2.487883768284023,78.00813705717944,-35.06573445223263,75.0,100.0,100.0,100.0
504,20,0.0,1.0675440276773618,0.7892188691611671,1.2953876636085944,2.8318542285381048,95.7757539601952,-34.939666453366016,80.9090909090909,100.0,100.0,100.0
752,20,0.0,1.0819877414046388,0.7521551902132514,1.1628814490076875,2.710894520453091,95.30356399459856,-35.1778500497621,78.49807445442876,100.0,95.0,100.0
