window_size,sharpe,ann_ret
32,-0.30970665858669566,-0.22945515838210373
32,-0.9327735080021801,-0.48326461358896255
32,-0.3802805102818465,-0.3299642065844996
32,0.8203365453609995,0.5580685009148283
32,0.025904966353340057,0.026962283445397778
32,4.050213931240832,1.7963352173737401
32,0.3008808636859984,0.4921626669334173
32,3.563689684809181,1.2965815029450736
32,0.30018600368383336,0.17443262322125624
32,0.0,0.0
32,-1.4176850874487599,-1.3723068591686627
32,-0.7480345139080675,-0.38616300410004245
32,3.58464374220859,2.2041651470432266
32,2.0390708863519422,1.896519547821859
32,1.282864887545016,0.6634075031071673
32,3.0270633507123423,1.7594714446500814
32,1.6015368441028515,1.2059016603692523
32,1.7939374341639258,2.7018657210069166
32,1.08148304832233,1.5444844126219246
32,5.047612321454811,1.0537893312968916
32,1.168521729134485,0.9792553850344217
32,0.3140700822583759,0.19555774919020488
32,1.0512040628539951,0.7093555992507171
32,0.32219520292840775,0.1779752524173863
32,1.590408349392494,0.6074190576442006
32,4.457940625262986,3.037117649790778
32,0.10432791410972422,0.16475254590745927
32,3.563689684809181,1.2965815029450736
32,0.7476136135773608,0.6326004265401879
32,0.47495775734419626,0.7463350471479372
32,2.8106932378069645,1.6714924478543964
32,1.5190474543302743,0.4057181538990687
32,2.2029779924677224,0.6063962375431504
32,2.4298210062881545,1.8237611679134709
32,1.3400467518615524,1.8472731074524562
32,1.5196617403258377,1.788080099072526
32,0.36542728411036535,0.6081071690592375
32,4.821799183375754,0.772566468857516
32,0.11359324505158501,0.1168248074367556
32,1.676724269396391,2.116035788040844
32,5.908800503341481,5.110875559687244
32,3.1497749274172855,5.590122464516692
32,1.9577935441471093,1.3296529542316213
32,3.9047296290360793,3.535975187093099
32,0.861661198080629,0.7559277770724593
32,1.750331545594016,2.563009915860817
32,-3.3254151642905825,-1.0867534413770683
32,-0.21719996184902446,-0.2217709322562733
32,2.7749381119854446,0.6797680111059022
32,2.5133540455547547,2.3182002486088984
63,0.7334796890461275,1.773612277605375
63,1.349432783902168,1.3315863919374027
63,1.157897318062379,1.1769147334498746
63,2.762755899242823,1.7960508886822089
63,2.41092498084766,0.9441961467871828
63,1.2524649933062884,1.313873430539148
63,1.3796526874888502,1.8593118479556918
63,3.4516439178840104,3.5948187972059125
63,1.1977445730756653,0.9239138642975657
63,2.314496830902613,2.8960578106580677
63,2.108512363030392,1.1049602992459426
63,0.7537085435001841,1.8236346434095843
63,0.965604374665188,1.3034802371634382
63,0.687935250835123,0.6699916916885633
63,2.2637801039224072,1.749843916081641
63,3.14000366251085,1.5426629332270618
63,2.3262563215408125,0.9379452045743082
63,1.2253201665319333,1.0415868917491187
63,0.9624472464950444,1.2777951842809125
63,2.2318968780004442,1.5792063238891498
63,3.7529726248662865,3.8559775333518993
63,0.9265181217565873,1.1049290606684241
63,2.2878258789975456,2.272123777476589
63,1.659069480031401,1.6168840442078465
63,2.217151389305003,1.057047323200174
63,-0.26393105830666985,-0.23895863103596549
63,0.8315559492534565,0.12345751823592677
63,1.6463826800214774,2.240218136958952
63,2.8961024856273188,1.2139320884782911
63,-0.34167189076096244,-0.06045282333691347
63,2.0352232807996384,1.6566550859324107
63,2.8961024856273183,1.2139320884782911
63,2.318886471902626,3.3419270768202165
63,2.551178107184052,2.5974416966169174
63,0.8445531649272056,0.718619744774167
63,0.665922137003329,0.5382716195452621
63,2.528576510874137,3.6826958531790024
63,1.5420580928594332,1.5433509288051077
63,3.357968346678179,3.101491950757118
63,1.5422924226318722,0.5591985661011398
63,1.7158586648322809,1.0165123001084413
63,0.9624472464950444,1.2777951842809125
63,2.6419684755816126,3.634983053180188
63,2.045347661456496,2.0402210052991325
63,2.762755899242823,1.7960508886822089
63,0.11139996244141878,0.27491228625356134
63,1.5420580928594332,1.5433509288051077
63,0.920313276325767,0.8128531673777294
63,0.25158491715457626,0.6255291486583487
63,1.5329331552704124,2.0525474065495666
126,0.5232431210046031,0.9378690461016148
126,0.9208247214308545,1.8667465820473153
126,1.1172759050375145,1.5729041269704198
126,1.49952979071186,0.839836845974042
126,0.7089392760236258,1.3484183605084643
126,0.9472946535703886,0.7053811104514183
126,1.49952979071186,0.839836845974042
126,1.7331596223351262,1.3649281351044387
126,3.0066866906622187,2.0625202457387544
126,2.4701029706205304,2.8222060475777972
126,2.7537733631649317,2.689445085562437
126,0.7618716009447268,1.5149335782429059
126,0.8710840692111074,1.6789627594884462
126,0.8935403414640054,0.7446071432375245
126,1.450898247417394,1.224526342031542
126,2.784421613429827,2.626472257632434
126,1.7013411484262897,2.096849344685179
126,2.1266666065609767,1.7073106608628128
126,1.440350904966958,1.2154180901238956
126,0.7626724258129848,1.4449610248114193
126,0.8853282637218782,0.7242387570021926
126,1.52224591037043,1.1321748131445435
126,0.7612785011114838,0.8651546448965022
126,1.7579554709420924,1.4861418717521477
126,1.096373604166968,1.5434505224196886
126,0.9605309064168328,1.8559801115061192
126,2.9298336111973926,1.830484674477566
126,1.235048236630063,1.2465662350377027
126,1.1810143678393428,0.9835536562764586
126,1.0478832760414059,0.7899767764888401
126,1.021680356258756,1.4330043655571678
126,1.8057546711234715,1.2136427193630674
126,1.6544669292628156,1.4435437460254323
126,1.909946492561428,2.6483031772350163
126,1.87121912577034,1.4969021687744257
126,1.0419114037693344,1.465264895837943
126,2.1305900671427613,1.188538545324706
126,1.4693748909881261,1.3410558897882487
126,1.978654296646284,2.7691870630642708
126,2.314944640831284,2.120451298926875
126,0.7110581365149015,0.4627017115059142
126,2.25609272348512,2.1474267962174256
126,3.0066866906622187,2.0625202457387544
126,1.7046901530751464,1.143401511791213
126,2.841270954578866,1.7008829528248637
126,1.3934170759936781,1.700494466172874
126,2.6338948527531914,1.3715178968858015
126,1.216990066866272,1.8308678068055346
126,1.673203143492434,1.3075345662368238
126,1.0946984345411663,0.9199561433900019
252,1.0289286807899924,1.5874760484092891
252,1.6619285288514545,1.3464373098869373
252,1.0566978917128476,1.6770215777536654
252,1.4993449093710993,1.5159353331783665
252,1.952057790159812,1.7065790224542305
252,1.693623382688555,1.0468839390119358
252,1.192390160863128,1.3482180961992989
252,1.1035016754458726,1.6012915180320533
252,1.7146154519916996,1.6827876762553977
252,1.196900972841739,1.2472801077038305
252,0.9827925528399512,0.7621616273890546
252,1.5366567001657583,1.2516508965718556
252,1.1524548835187696,1.6717229170216839
252,1.0747703183945603,1.708126300656817
252,1.104550641357993,0.9481259981877344
252,0.6893047801803511,0.9441205490128768
252,2.070983382554378,1.4387721028889722
252,1.9710549259518217,1.3785612087673897
252,1.9938489664247296,1.9556065288553954
252,1.196900972841739,1.2472801077038305
252,1.2016023623927365,0.9611215221389822
252,1.5492319666495638,1.3718314484535385
252,1.2602967671729257,1.8586703893172143
252,1.1136045420666922,0.8365263252281502
252,1.6132073448595647,1.655676665245969
252,1.3740336932163693,1.3623991353081624
252,1.2654456040697322,1.0123226622949055
252,1.118635630074655,0.9042630821991546
252,1.2644327498033194,0.9488918386066734
252,0.8157456618711765,1.0877214939185702
252,1.784881028437958,1.4848691807675463
252,1.1058660812795438,0.8223906176172437
252,1.3988076698327436,1.4651877024601858
252,1.6934483543959158,1.8333321377050185
252,1.3826248403757928,1.5837337511505294
252,1.224066501141815,1.8532103662396673
252,1.901850865328231,1.5011005737770624
252,2.676590860022414,1.5614213267969501
252,2.631598709717147,1.4811924556087062
252,1.2602967671729255,1.858670389317214
252,1.4382709185188067,1.5108649062314041
252,2.10006139062188,1.5603800641867225
252,1.457872741224873,1.3894094126043819
252,1.1656364735577838,1.862846413152126
252,1.2064216633342537,1.7905705872529076
252,1.6322096195949636,1.3297629967517206
252,1.4813570353790328,1.6549427306992468
252,1.1079880251272451,1.6058861691318194
252,1.929180897429851,1.6180982094651166
252,1.5631451729922967,1.261444235415155
504,1.8646874593774505,1.817841388119891
504,1.5719109653547507,1.4030044991032904
504,1.673547222010672,1.5530592317485912
504,1.4229340650158706,1.299627407186717
504,1.2762970699477691,1.1383884808329965
504,1.2670768875466099,1.5133879241901231
504,1.9255701490170487,1.7125101960325755
504,1.572118555485751,1.4758521240764204
504,1.8274313602445602,1.5844947994648346
504,1.692316500730104,1.5945864681185087
504,1.1172337869082927,1.3548426042890964
504,1.4655628151597428,1.4563427937891908
504,1.0087329635298208,1.2074678161348453
504,1.5487723766834236,1.392959563387499
504,1.284752891789018,1.5316445309240792
504,1.715599054585155,1.5691850411412958
504,1.6292789704113657,1.4535591514860404
504,1.3887054975054736,1.273006414568573
504,1.1636973283290288,1.4166042269179042
504,1.3194348012376722,1.1683755368767885
504,1.2482256183999296,1.5166091927223246
504,1.7263747111654673,1.5468630982842466
504,1.4363906200385086,1.3150919218535648
504,1.5283899233567475,1.406829095718113
504,1.6685639678761797,1.497972262865514
504,1.6267525414853288,1.5343642138786184
504,1.8077524879408624,1.5742073879393383
504,1.756828927839316,1.5735776666972587
504,1.7183564947098706,1.595177825133256
504,1.725820818107053,1.7368890730275082
504,1.660051058750649,1.4915232891899624
504,1.7864936614807498,1.636092300271257
504,1.737688364643311,1.632317270544479
504,1.6482980270671712,1.658536191852233
504,1.4269475196998125,1.7078890139332992
504,1.6927472231235405,1.5712770510117213
504,1.6685639678761797,1.497972262865514
504,1.4474605080734775,1.4172635252545103
504,1.2113519785005098,0.9669834457357639
504,1.8397388303806759,1.6496592327783661
504,1.8397388303806759,1.6496592327783661
504,1.571910965354751,1.4030044991032906
504,1.3975986968405856,1.6717697850423803
504,1.136235654934484,1.3777880752856362
504,1.76702376327013,1.6857145639902131
504,1.3977340339356998,1.311435126836889
504,1.5759445577098081,1.451866263521565
504,1.7864936614807498,1.636092300271257
504,1.660051058750649,1.4915232891899624
504,1.6468463848290893,1.5767170747016528
756,1.5474371448218929,1.33053753809584
756,1.7352170777379086,1.6538164330101792
756,1.2119474686251661,1.4299185323701247
