dropped_pair,sharpe,calmar,ann_ret,n_trades,sharpe_drop_pct
DABUR/HINDUNILVR,1.3343130138056423,2.462596498367425,1.314563731453212,73,3.4277798293641553
NHPC/NTPC,1.343797427234632,2.168065323458043,1.2731157762386132,80,2.7413360546449272
NHPC/POWERGRID,1.1797580069802158,2.0662024044028757,1.1331483500095074,78,14.613850858566686
BAJFINANCE/KOTAKBANK,1.397888347248739,4.670171723633736,1.0713398554594222,75,-1.173547621664228
HDFCBANK/KOTAKBANK,1.289120182112015,2.4751510439892175,1.3126501939837076,78,6.698655588871044
OIL/ONGC,1.3673401341582634,2.470459007039085,1.2550722706935524,77,1.0374094250476145
