entry_date,exit_date,hold_days,direction,entry_z,exit_z,entry_ze,exit_zx,stop_zs,notional,leverage,beta,units,entry_lr,exit_lr,entry_cost_dol,exit_cost_dol,gross_pnl_dol,pnl,pnl_dol,exit_reason,z_fast,z_fast_slope,z_fast_accel,z_fast_accel_z,rsi_lr,rsi_slope,lr_mom,lr_mom_slope,lr_mom_slope_z,vol_z,vol_ratio,atr,autocorr,agreement,regime_score,pair
2019-02-18,2019-02-27,7,long,-2.688239162737585,0.25259379619129746,2.4,0.18,4.5,800000,4,0.5803690878106557,1,1.7216334434555323,1.748448712106816,1000.0,1000.0,21452.214921026956,0.09726107460513478,19452.214921026956,mean_revert,-2.0000808239442067,-1.4126938035994432,-0.3871772015242133,,43.645450578321864,-16.973121675834832,-0.04439803030140599,-0.03513948844036019,,,1.0,0.009290221685136688,0.0,-3.0,-1.0,DABUR/HINDUNILVR
2019-05-24,2019-06-14,14,short,2.722147102198728,-0.3268113986565373,2.4,0.18,4.5,800000,4,0.5642125449302843,-1,1.7723684257249628,1.7432860625370734,1000.0,1000.0,23265.890550311495,0.10632945275155747,21265.890550311495,mean_revert,1.9169114583522273,1.1210591193923922,0.17133162120333417,0.17547841196024333,70.697354591746,12.547099847999974,0.06695877745550227,0.042325652564683125,1.6817997430049845,2.0935657261855165,1.2054558364493362,0.012287723780518622,-0.13898335756459348,3.0,5.0,DABUR/HINDUNILVR
2019-09-20,2019-10-09,11,long,-2.400216623647936,0.41509063540151997,2.4,0.18,4.5,800000,4,0.5799576733441753,1,1.7053586859057985,1.7395573889452807,1000.0,1000.0,27358.96243158571,0.12679481215792857,25358.96243158571,mean_revert,-2.640980712409983,-2.78975252338605,-1.7492881177947166,-1.6652783801624835,32.23280591173207,-19.582732008598207,-0.07146846129265327,-0.07293092954007196,-2.8189935690426653,2.8249128632211686,1.2523655127229025,0.01496978874858127,-0.08465383731392094,-3.0,-1.0,DABUR/HINDUNILVR
2019-11-05,2019-11-13,5,short,2.6395715713115173,0.03214546331906585,2.4,0.18,4.5,800000,4,0.5725412495544872,-1,1.7757535293750324,1.7578180741249827,1000.0,1000.0,14348.364200039754,0.06174182100019877,12348.364200039754,mean_revert,2.263747870771622,1.8377663521921006,2.3623398789347987,1.40481331711663,60.41560703380929,14.01840778786228,0.03544545845290781,0.05530636199077055,1.3984882897784694,-1.515561817792466,0.6784441625087437,0.011691506406576246,0.0026067980871274767,3.0,5.0,DABUR/HINDUNILVR
2020-02-13,2020-03-02,11,long,-2.4194479507363766,0.5927387148380227,2.4,0.18,4.5,800000,4,0.5827331343135081,1,1.7387097243263756,1.7516526890913884,1000.0,1000.0,10354.371812010222,0.04177185906005111,8354.371812010222,mean_revert,-1.7978823275819398,-2.1276157788813315,-1.5576286862668534,-0.8276203024680858,40.96072672269237,-10.402743573957757,-0.030822059534088453,-0.05724109590587734,-2.1223692977805206,0.7977820506896611,1.170826936497828,0.011249117913034817,-0.3467099850008706,-3.0,-1.0,DABUR/HINDUNILVR
2020-03-12,2020-03-31,13,long,-2.8344559988770275,0.16782997931203522,2.4,0.18,4.5,800000,4,0.5799609385266822,1,1.709298805899243,1.7081717818999709,1000.0,1000.0,-901.6191994177802,-0.014508095997088901,-2901.6191994177802,mean_revert,-2.352985198930769,-1.9282424990052063,-0.17856317037105648,0.046745899875186195,32.812359927477814,-13.78992741761386,-0.08061098610237494,-0.0783859972612655,-2.307491557844517,2.2706007993281236,1.4552085472544176,0.013089816664506801,-0.2789601194316041,-3.0,-1.0,DABUR/HINDUNILVR
2020-07-27,2020-07-29,2,long,-2.43267926202636,1.5040494057992007,2.4,0.18,4.5,800000,4,0.5745307663221969,1,1.7185760839108561,1.742514090016347,1000.0,1000.0,19150.404884392636,0.08575202442196318,17150.404884392636,mean_revert,-1.9099267775126343,-0.9593435985617043,-0.7151761478225347,-0.6326940420584771,40.93733293478532,-7.394504114431392,-0.042209537478433035,-0.045563465247880686,-1.904709226730011,-1.163687963433797,0.7814089864853254,0.010078649612773497,-0.2136871841270465,-3.0,-1.0,DABUR/HINDUNILVR
2020-07-31,2020-08-12,8,short,2.9760011235695023,-0.10577977514139876,2.4,0.18,4.5,800000,4,0.5763871681855685,-1,1.7908034777760922,1.7590001556829309,1000.0,1000.0,25442.657674529022,0.11721328837264511,23442.657674529022,mean_revert,2.511974757608445,2.9372640525440628,3.2009843596819216,2.5012133300463595,66.26047023338293,19.454456225581367,0.07120343006868435,0.08318188485380773,3.056110449766107,1.3692348193962582,1.419726235384416,0.014948623298177874,-0.15120997678496148,3.0,5.0,DABUR/HINDUNILVR
2020-09-11,2020-09-23,8,short,2.471915462808268,-0.7738508325278355,2.4,0.18,4.5,800000,4,0.5813353678227434,-1,1.7689130291035418,1.749597320126414,1000.0,1000.0,15452.567181702292,0.06726283590851147,13452.567181702292,mean_revert,2.0253142041290317,1.4019193785676713,2.277641957959609,1.2349549013614365,60.425352972260086,13.106689736673488,0.03347622199677591,0.03202282106142551,0.9607446685849687,-0.987238774311746,0.8511310904250614,0.008783386496729198,-0.07559525299285925,3.0,5.0,DABUR/HINDUNILVR
2020-12-07,2020-12-15,6,long,-3.0789306827086915,1.1416193542637016,2.4,0.18,4.5,800000,4,0.5843451280029804,1,1.7144453714009902,1.7252525530036094,1000.0,1000.0,8645.74528209534,0.0332287264104767,6645.74528209534,mean_revert,-2.081783569686034,-1.1033335040576595,-1.368884932644821,-1.0994386358850516,37.78161278461141,-9.771589097249908,-0.016508949560775754,-0.018859333992728544,-0.9349884615001195,-2.7155707378390725,0.5414561698198442,0.007662373916904896,-0.31854682455655575,-3.0,-1.0,DABUR/HINDUNILVR
2020-12-29,2021-01-20,16,short,2.4022396466324545,-0.04508102295915324,2.4,0.18,4.5,800000,4,0.5800759444695172,-1,1.7612474988556739,1.7543233098928481,1000.0,1000.0,5539.351170260609,0.017696755851303047,3539.3511702606093,mean_revert,1.6838413727287709,1.4123514613164403,1.4952803886137482,1.1562933723937243,65.04369783954948,15.169321008967657,0.03289327530992736,0.035980956558512744,1.5657154259901749,0.9723879194062898,0.7505374965026378,0.00693655032478261,-0.2457950038776407,3.0,5.0,DABUR/HINDUNILVR
2021-07-30,2021-08-04,3,short,2.5525625525907114,-1.7993264318989284,2.4,0.18,4.5,800000,4,0.5949723380816883,-1,1.7863108809722166,1.769981244273868,1000.0,1000.0,13063.709358678821,0.05531854679339411,11063.709358678821,mean_revert,1.9296718660068446,0.9745473797793851,1.2406111614291253,1.0247282171933907,60.426044139907155,8.019581328484982,0.015108950907806395,0.010691832700993054,0.4732144483168046,-2.2609142815762255,0.6588482197826832,0.0089699999324227,0.03843647343553166,3.0,5.0,DABUR/HINDUNILVR
2021-11-03,2021-11-24,13,short,2.7407315709250657,-0.2838508011475367,2.4,0.18,4.5,800000,4,0.5943830838188136,-1,1.7809954445617773,1.7655939425559959,1000.0,1000.0,12321.20160462511,0.05160600802312555,10321.20160462511,mean_revert,1.7362125165212727,1.425389909203053,0.8114307102971097,0.7096754163676466,62.23392765435185,10.146527418123185,0.01824191600444003,0.016396412501324065,0.9876675935035324,0.2855629109902521,1.0174001060453413,0.009753271276738543,-0.2688088098040884,3.0,5.0,DABUR/HINDUNILVR
2021-12-01,2021-12-13,8,long,-3.440805531814739,-0.07789644568211089,2.4,0.18,4.5,800000,4,0.5976599954799662,1,1.7355714809551934,1.7525624767463037,1000.0,1000.0,13592.796632888238,0.05796398316444119,11592.796632888238,mean_revert,-2.818428310214679,-2.469371921247837,-2.159702122301528,-1.8006633025152825,33.09989230640632,-17.972634271391478,-0.038581405746157316,-0.035482828188119875,-2.17675043878344,0.41575579319630146,1.099765478486702,0.009784199446663661,-0.28176860280504007,-3.0,-1.0,DABUR/HINDUNILVR
2022-02-28,2022-03-07,4,short,2.5567603779309254,-0.9517818937305093,2.4,0.18,4.5,800000,4,0.5915703218402228,-1,1.789872620530404,1.764145503866571,1000.0,1000.0,20581.693331066475,0.09290846665533238,18581.693331066475,mean_revert,2.125607311005011,2.7951113430920618,2.004728912873608,1.3614557031755978,64.37758758310177,19.393549908948017,0.04761815897617794,0.06595982940422918,2.092889514548864,0.28645623650875385,1.1261991111220349,0.012160981185363429,0.06420133512334997,3.0,5.0,DABUR/HINDUNILVR
2022-07-21,2022-08-02,8,short,2.6551450704371393,0.12010674833642788,2.4,0.18,4.5,800000,4,0.5802113739232376,-1,1.7853437508817813,1.7710518886843143,1000.0,1000.0,11433.489757973624,0.04716744878986812,9433.489757973624,mean_revert,2.1591141676968473,0.8941184408509273,0.9788811355740547,1.4197441500269246,62.078059370027965,12.12660038603235,0.016815659992354348,0.026446228954760898,1.348035138031438,-0.621348292955738,0.35936861346300325,0.00898757559009311,-0.17668923876696807,3.0,5.0,DABUR/HINDUNILVR
2022-09-16,2022-09-22,4,long,-2.645840489508924,-0.10174589486265269,2.4,0.18,4.5,800000,4,0.5842629336107114,1,1.7312415908120649,1.7520953432598438,1000.0,1000.0,16683.001958223187,0.07341500979111594,14683.001958223187,mean_revert,-1.8258189363346522,-1.6110824575720153,-1.6059379033923016,-1.2354687751792437,32.77967396252511,-13.019350590940554,-0.03051943171951521,-0.028396577856600658,-1.3863168395717815,1.8073467643216155,0.7655062578984733,0.006338941477866784,-0.07798051380163033,-3.0,-1.0,DABUR/HINDUNILVR
2022-10-27,2022-11-18,15,short,2.6372537292822096,-0.41948907524297513,2.4,0.18,4.5,800000,4,0.5774211276447857,-1,1.7843884267912091,1.7677646789419263,1000.0,1000.0,13298.998279426221,0.05649499139713111,11298.998279426221,mean_revert,1.9863618797159046,1.7213104242888382,1.5837579216360431,0.8779410391651377,68.05816913133351,16.61227534292327,0.054345910332644465,0.04884264726793219,1.8887195603127946,3.9005833757264123,1.0238522030143267,0.010096824431585674,0.07159255740205815,3.0,5.0,DABUR/HINDUNILVR
2023-01-20,2023-02-02,8,short,2.6809697116356968,-0.469120384228845,2.4,0.18,4.5,800000,4,0.5811213544321783,-1,1.7798162271887756,1.7515118891313013,1000.0,1000.0,22643.470445979474,0.10321735222989736,20643.470445979474,mean_revert,2.4531792336522247,1.8016987345321844,1.2288498756866484,1.232877970299854,63.86277914493232,15.859662240195817,0.06021547710073083,0.04812888729132059,2.043016533333213,1.1664676780001135,0.979217677957635,0.011828502176897886,-0.2518818627044742,3.0,5.0,DABUR/HINDUNILVR
2023-04-06,2023-04-20,8,long,-3.3413195269799405,0.5468677875241805,2.4,0.18,4.5,800000,4,0.5789626595899019,1,1.7330331954493223,1.7482562449441026,1000.0,1000.0,12178.43959582421,0.05089219797912105,10178.43959582421,mean_revert,-2.8334301605935774,-1.8422926888695579,-1.6968754832057875,-1.6161568921486575,36.95574357194493,-13.202098107824362,-0.02951869531849738,-0.022585087601228793,-1.3744211049406656,-0.4115147634478814,0.8499602784859595,0.011015840007215066,-0.17933110018785484,-3.0,-1.0,DABUR/HINDUNILVR
2023-07-07,2023-07-11,2,long,-2.875759460355997,-0.17003772342708875,2.4,0.18,4.5,800000,4,0.5816030080031046,1,1.7563296018347196,1.7701455782242907,1000.0,1000.0,11052.781111656885,0.045263905558284426,9052.781111656885,mean_revert,-2.581494361522835,-0.8357061577958586,-0.5931785754531673,-0.6351952532720345,40.735809311120455,-9.825115213260766,-0.014908805476634868,-0.011748285977299489,-0.6450469669779108,-1.2463539583945535,0.40254222145895585,0.007329175571043415,-0.011727943636232644,-3.0,-1.0,DABUR/HINDUNILVR
2023-08-03,2023-08-04,1,long,-2.4010265544936056,0.21263345035454523,2.4,0.18,4.5,800000,4,0.5838717440124384,1,1.7424087773495691,1.7646448640670582,1000.0,1000.0,17788.86937399129,0.07894434686995644,15788.869373991289,mean_revert,-2.0260415201214337,-1.7769823230644302,-1.3368933446849942,-1.3305365332816874,36.96126411840827,-17.075478293696897,-0.032269507076818194,-0.04416169978356965,-2.2898949444187853,0.49208373706466685,0.8706834003130927,0.007481112726121174,-0.04196875436999013,-3.0,-1.0,DABUR/HINDUNILVR
2024-04-04,2024-04-16,7,long,-2.836136595385652,-0.1250280927146665,2.4,0.18,4.5,800000,4,0.5824084440345176,1,1.736164560695714,1.754565384118165,1000.0,1000.0,14720.658737960868,0.06360329368980434,12720.658737960868,mean_revert,-2.960350106130539,-3.223750937426241,-3.17616677507816,-2.280270646707054,34.259155570168645,-20.254584962324756,-0.03798799764272065,-0.032707605073439616,-1.714498752775134,0.39710051168971017,1.1995797437217033,0.009590323957160533,-0.02704125046900237,-3.0,-1.0,DABUR/HINDUNILVR
2024-07-19,2024-07-23,2,long,-2.692084953759145,0.6080910933344028,2.4,0.18,4.5,800000,4,0.595380914146613,1,1.7456831508629853,1.7586936965304614,1000.0,1000.0,10408.436533980846,0.042042182669904234,8408.436533980846,mean_revert,-1.998865736763211,-0.8904882227576872,-0.6270584685126763,-0.4645990151691591,39.722590735529344,-8.672555625258838,-0.018702750380246158,-0.016884288547114323,-0.5854475699808648,-2.1025198014146134,0.5612479617853993,0.006470841113763074,-0.005092876847899244,-3.0,-1.0,DABUR/HINDUNILVR
2024-09-25,2024-10-15,13,long,-3.7080268752572736,-0.07628046752690566,2.4,0.18,4.5,800000,4,0.5932929712344346,1,1.72210685592188,1.7210664615636662,1000.0,1000.0,-832.3154865710336,-0.014161577432855168,-2832.3154865710335,mean_revert,-2.746329172080108,-2.3017398352329677,-1.7120283279096653,-1.2420542206119645,33.07475541684458,-14.144543069744529,-0.046817125490987266,-0.04482419756002454,-1.7788643777700786,0.38066206380696965,1.2785550957949348,0.012444363777361257,-0.20141019042699068,-3.0,-1.0,DABUR/HINDUNILVR
2024-11-12,2024-11-22,6,long,-2.464658956836809,-0.1486910910137083,2.4,0.18,4.5,800000,4,0.5798759829607789,1,1.7092127823708054,1.7300248027577683,1000.0,1000.0,16649.61630957027,0.07324808154785134,14649.616309570269,mean_revert,-2.2060498499422705,-0.8915239263702798,-1.1288856068810331,-0.8438440183988156,40.7465681785757,-11.49039108218166,-0.024026510554982394,-0.024504431756833256,-0.8920492901302883,-1.2471236452165164,0.4335100354124172,0.008507198132326255,-0.18450434261602222,-3.0,-1.0,DABUR/HINDUNILVR
2025-08-06,2025-08-20,9,long,-3.0598303471762875,0.33159248213201314,2.4,0.18,4.5,800000,4,0.5774596061157329,1,1.7286615498439035,1.7397086495387637,1000.0,1000.0,8837.679755888139,0.034188398779440694,6837.679755888139,mean_revert,-2.057425304294629,-1.8350063523941702,-1.9902878876600376,-1.791510966830362,32.85262420911732,-15.891259997162202,-0.03826916389597912,-0.0412852924942122,-2.0935607331014,-0.06227033657879532,0.9285166073924471,0.007519906755985925,0.026356420522624564,-3.0,-1.0,DABUR/HINDUNILVR
2025-09-02,2025-09-16,10,short,2.7037150752767696,0.17343471587536174,2.4,0.18,4.5,800000,4,0.5742738236738522,-1,1.7686683012755626,1.7487216166734432,1000.0,1000.0,15957.347681695566,0.06978673840847784,13957.347681695566,mean_revert,2.4774894595086563,2.3819455981989264,2.4337974097492907,1.7622519754741095,63.681278388231625,20.559690734793193,0.04096453316636417,0.06495575576479684,2.6203919998389265,0.29745011496437107,0.9579629639782603,0.011176658356374417,-0.0749394600780161,3.0,5.0,DABUR/HINDUNILVR
2025-11-04,2025-11-19,10,short,2.4637685055631753,-0.6046452315088741,2.4,0.18,4.5,800000,4,0.5731717623627322,-1,1.7799717489250053,1.7601111905585214,1000.0,1000.0,15888.446693187141,0.0694422334659357,13888.446693187141,mean_revert,1.4742869935474066,1.261286064007566,1.7828379415648583,2.10828414679588,63.840560887009794,7.440723117217615,0.030193347799376546,0.029413911117496916,1.5005303754129367,0.08347048265528226,0.6773921671978614,0.01404399936130103,-0.09255569230185175,3.0,5.0,DABUR/HINDUNILVR
2026-01-02,2026-01-14,8,short,3.2424117217134096,-0.1568609293092215,2.4,0.18,4.5,800000,4,0.5779007713847399,-1,1.7701604470948884,1.7509745524245373,1000.0,1000.0,15348.715736280916,0.06674357868140458,13348.715736280916,mean_revert,2.6814978516654002,1.237234765275457,0.582298010791432,0.5883307575095357,66.19653459246653,13.42407646234301,0.046928123452804726,0.03858072378832489,1.5564739109943588,-0.9548246081367259,0.785398459842357,0.0093016820652973,-0.056697028541435865,3.0,5.0,DABUR/HINDUNILVR
